State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[1][0]	m[1][1]	m[1][2]	m[2][0]	m[2][1]	m[2][2]	
52000	-53801.2	0.987817	0.00239359	0.00978899	0.00659346	0.968736	0.0246707	0.0534487	0.00411538	0.942436	
53000	-53813.3	0.982022	0.00653737	0.0114409	4.40669e-05	0.982811	0.0171452	0.00882921	0.0625716	0.928599	
54000	-53788.8	0.961212	0.00704068	0.0317476	0.00243399	0.996049	0.00151654	0.0444478	0.0163614	0.939191	
55000	-53728.5	0.992956	0.00472327	0.00232036	0.00894814	0.973573	0.0174792	0.05421	0.00491388	0.940876	
56000	-53713	0.973222	0.0189176	0.00786074	0.000920184	0.992459	0.00662123	0.00672099	0.0120405	0.981239	
57000	-53748.1	0.98113	0.0023356	0.0165346	0.00414792	0.98742	0.00843202	0.00216495	0.0449246	0.95291	
58000	-53733.9	0.981121	0.0113642	0.0075145	0.046704	0.95049	0.00280644	0.015842	0.032503	0.951655	
59000	-53754.6	0.996615	0.000541336	0.00284399	0.00379223	0.994969	0.00123858	0.0032968	0.00916678	0.987536	
60000	-53693.4	0.969652	0.0209632	0.0093843	0.0125939	0.983482	0.00392443	0.00294684	0.0145104	0.982543	
61000	-53715.7	0.957378	0.0409732	0.00164857	0.00309261	0.99283	0.00407785	0.00882531	0.0190124	0.972162	
62000	-53721.3	0.982542	0.0106998	0.00675836	0.011333	0.987501	0.00116575	0.0480232	0.051782	0.900195	
63000	-53709.3	0.99087	0.000720799	0.00840955	0.00418715	0.983736	0.0120768	0.0272349	0.0443684	0.928397	
64000	-53664	0.964356	0.0300791	0.00556455	0.00709705	0.991548	0.0013549	0.0190394	0.00692276	0.974038	
65000	-53645.2	0.998378	0.000246169	0.00137597	0.000244665	0.98927	0.0104851	0.00325811	0.078598	0.918144	
66000	-53631.3	0.994416	0.00298204	0.00260157	0.00175311	0.985256	0.0129906	0.00162332	0.0371072	0.961269	
67000	-53643.6	0.95367	0.0392422	0.00708776	0.0141958	0.981324	0.00447976	0.0727103	0.00902964	0.91826	
68000	-53633.3	0.978787	0.000983731	0.0202289	0.00989856	0.982327	0.00777483	0.0576839	0.0510323	0.891284	
